col_name,val_rmse_0,val_rmse_1,val_rmse_2,val_rmse_3,val_rmse_4,val_rsq_0,val_rsq_1,val_rsq_2,val_rsq_3,val_rsq_4,val_mean_rmse,val_mean_rsq,val_var_rmse,val_var_rsq,rmse_delta
visitStartTimeIs_quarter_end,2.4210810545356587,2.1696531738860734,2.115978900089627,2.009017643759817,1.7563131353057997,-0.10801508970957485,0.16215027233045787,0.24058125850246226,-0.048960004954122116,0.21142145731227902,2.094408781515395,0.09143557869630044,0.04688841499036813,0.02022662036079129,-0.013727873695518866
geoNetwork_metro,2.390879228881418,2.202643839159286,2.1277383722439867,2.15606592817746,1.7602483755861364,-0.08054359772499575,0.13647670425994096,0.2321169220939937,-0.2081350970570237,0.20788367969244181,2.1275151488096578,0.057559722252871405,0.042141007666184546,0.029792332448559684,-0.046834240989781506
visitStartTimeMonth,2.432259238763241,2.252187996415707,2.112182336106313,2.1518218444626407,1.7535038915348107,-0.11827016899511467,0.09719328691775697,0.24330396550943537,-0.20338349840571324,0.21394212131875512,2.1403910614565422,0.04655714126902391,0.04965873296533244,0.031785885842204674,-0.059710153636665986
trafficSource_adContent,2.3046361063341716,2.372260744014417,2.4293696160896445,1.9623746692022062,1.978177385065843,-0.0039954384238325424,-0.0016369688525716963,-0.0010271031831716737,-0.0008184118819225539,-0.0003950223164581601,2.2093637041412566,-0.0015745889315913254,0.03969311500381016,1.6254650586662368e-06,0.0
visitStartTimeIs_year_end,2.3047465539158973,2.3722579512762354,2.429370626574466,1.9624485686195097,1.9782460436080298,-0.004091671859606905,-0.0016346105045970116,-0.0010279359283393852,-0.0008937912589828123,-0.00046446690351231723,2.2094139487988276,-0.001622495291007686,0.03968358284735639,1.6645039707181392e-06,-5.024465757097474e-05
visitStartTimeIs_quarter_start,2.3044806282371337,2.3722161046598447,2.4293412267131336,1.9623928939929285,1.9782293034978224,-0.00385997752890499,-0.0015992731589289377,-0.0010037075095832293,-0.0008370013909404506,-0.00044753492012516993,2.2093320314201725,-0.0015494989016965554,0.03967518625026058,1.4721309053378628e-06,3.167272108406394e-05
geoNetwork_country,2.2865311741416394,2.3474712059103227,2.3936127293684337,1.9496905943543765,1.9643526720761069,0.011717124709677895,0.019187372293677174,0.028223445441724726,0.012077626449616186,0.013538861781098976,2.1883316751701756,0.01694888613515899,0.0368450004670269,3.8971054494314914e-05,0.021000356249996965
device_operatingSystem,2.275810920119294,2.335356178647201,2.380678993064164,1.9409608299483256,1.9561080621335503,0.02096240195504273,0.0292849695770675,0.03869693971565946,0.020904690420549987,0.021802062061270222,2.177782996782507,0.02633021274591798,0.03616601641189382,4.808407153758707e-05,0.010548678387668708
visitStartTimeHour,2.2922940541334427,2.368808124906688,2.416337159161449,1.952015938690004,1.9609432466012275,0.006729191158775682,0.0012765003688541832,0.009684194126599932,0.009719683458631168,0.01696018938594146,2.198079704698562,0.008873951699760485,0.04048838604721654,2.5816051883856398e-05,-0.0202967079160552
visitStartTimeDay,2.398294959836479,2.6403036509210294,2.6601918177775294,2.064760590335749,2.056471527274906,-0.08725698366510004,-0.24077562529601537,-0.20028547874177272,-0.10797722290170642,-0.08115125978967619,2.364004509229139,-0.14348931407885415,0.06987348608640112,0.004199929457351175,-0.186221512446632
